Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
casd,,,,13-05-2024 15:27:03,13-05-2024 15:27:03,0.653s,FAILED
,,,,,,,
Test Cases/2,,,,13-05-2024 15:27:03,13-05-2024 15:27:03,0.041s,FAILED
"openBrowser("""")",,,,13-05-2024 15:27:03,13-05-2024 15:27:03,0.033s,FAILED
