Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
casd,,,,13-05-2024 15:47:51,13-05-2024 15:48:03,12.203s,FAILED
,,,,,,,
Test Cases/2,,,,13-05-2024 15:48:03,13-05-2024 15:48:03,0.546s,FAILED
"openBrowser("""")",,,,13-05-2024 15:48:03,13-05-2024 15:48:03,0.318s,FAILED
