Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
casd,,,,13-05-2024 15:41:53,13-05-2024 15:41:54,0.933s,FAILED
,,,,,,,
Test Cases/2,,,,13-05-2024 15:41:54,13-05-2024 15:41:54,0.038s,FAILED
"openBrowser("""")",,,,13-05-2024 15:41:54,13-05-2024 15:41:54,0.029s,FAILED
