Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
casd,,,,13-05-2024 15:46:42,13-05-2024 15:46:45,3.619s,FAILED
,,,,,,,
Test Cases/2,,,,13-05-2024 15:46:45,13-05-2024 15:46:45,0.581s,FAILED
"openBrowser("""")",,,,13-05-2024 15:46:45,13-05-2024 15:46:45,0.500s,FAILED
