Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
casd,,,,13-05-2024 15:46:32,13-05-2024 15:46:34,1.187s,FAILED
,,,,,,,
Test Cases/2,,,,13-05-2024 15:46:33,13-05-2024 15:46:34,0.078s,FAILED
"openBrowser("""")",,,,13-05-2024 15:46:33,13-05-2024 15:46:34,0.065s,FAILED
