Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
casd,,,,13-05-2024 15:42:07,13-05-2024 15:42:12,4.271s,FAILED
,,,,,,,
Test Cases/2,,,,13-05-2024 15:42:11,13-05-2024 15:42:12,0.237s,FAILED
"openBrowser("""")",,,,13-05-2024 15:42:12,13-05-2024 15:42:12,0.148s,FAILED
