Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
casd,,,,13-05-2024 15:47:28,13-05-2024 15:47:34,6.599s,FAILED
,,,,,,,
Test Cases/2,,,,13-05-2024 15:47:34,13-05-2024 15:47:34,0.319s,FAILED
"openBrowser("""")",,,,13-05-2024 15:47:34,13-05-2024 15:47:34,0.240s,FAILED
