Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
casd,,,,13-05-2024 15:42:09,13-05-2024 15:42:14,5.302s,FAILED
,,,,,,,
Test Cases/2,,,,13-05-2024 15:42:14,13-05-2024 15:42:14,0.391s,FAILED
"openBrowser("""")",,,,13-05-2024 15:42:14,13-05-2024 15:42:14,0.262s,FAILED
