Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
casd,Windows - Chrome 123.0.0.0,,,13-05-2024 15:50:59,13-05-2024 15:51:27,28.510s,PASSED
,,,,,,,
Test Cases/2,Windows - Chrome 123.0.0.0,,,13-05-2024 15:50:59,13-05-2024 15:51:27,28.434s,PASSED
"openBrowser("""")",Windows - Chrome 123.0.0.0,,,13-05-2024 15:50:59,13-05-2024 15:51:22,23.316s,PASSED
"navigateToUrl(""https://github.com"")",Windows - Chrome 123.0.0.0,,,13-05-2024 15:51:22,13-05-2024 15:51:25,2.759s,PASSED
closeBrowser(),Windows - Chrome 123.0.0.0,,,13-05-2024 15:51:25,13-05-2024 15:51:27,2.263s,PASSED
