Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
casd,,,,13-05-2024 15:41:39,13-05-2024 15:41:40,0.922s,FAILED
,,,,,,,
Test Cases/2,,,,13-05-2024 15:41:40,13-05-2024 15:41:40,0.044s,FAILED
"openBrowser("""")",,,,13-05-2024 15:41:40,13-05-2024 15:41:40,0.034s,FAILED
