Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
casd,,,,13-05-2024 15:48:04,13-05-2024 15:48:07,3.175s,FAILED
,,,,,,,
Test Cases/2,,,,13-05-2024 15:48:07,13-05-2024 15:48:07,0.073s,FAILED
"openBrowser("""")",,,,13-05-2024 15:48:07,13-05-2024 15:48:07,0.060s,FAILED
