Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
casd,,,,13-05-2024 15:47:36,13-05-2024 15:47:46,9.452s,FAILED
,,,,,,,
Test Cases/2,,,,13-05-2024 15:47:45,13-05-2024 15:47:46,0.768s,FAILED
"openBrowser("""")",,,,13-05-2024 15:47:45,13-05-2024 15:47:46,0.564s,FAILED
