Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
casd,Windows - Chrome 123.0.0.0,,,13-05-2024 15:27:05,13-05-2024 15:27:39,33.340s,PASSED
,,,,,,,
Test Cases/2,Windows - Chrome 123.0.0.0,,,13-05-2024 15:27:05,13-05-2024 15:27:39,33.275s,PASSED
"openBrowser("""")",Windows - Chrome 123.0.0.0,,,13-05-2024 15:27:06,13-05-2024 15:27:34,28.007s,PASSED
"navigateToUrl(""https://github.com"")",Windows - Chrome 123.0.0.0,,,13-05-2024 15:27:34,13-05-2024 15:27:37,3.395s,PASSED
closeBrowser(),Windows - Chrome 123.0.0.0,,,13-05-2024 15:27:37,13-05-2024 15:27:39,1.778s,PASSED
