Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
casd,,,,13-05-2024 15:47:22,13-05-2024 15:47:26,4.036s,FAILED
,,,,,,,
Test Cases/2,,,,13-05-2024 15:47:26,13-05-2024 15:47:26,0.214s,FAILED
"openBrowser("""")",,,,13-05-2024 15:47:26,13-05-2024 15:47:26,0.156s,FAILED
